u_1	u_2	z_1	z_2	Obj	ϕ_1	ϕ_2
0.155000	0.845000	3.000000	1.363006	-0.200758	0.903667	-0.664418	1.568086
0.156000	0.844000	3.000000	1.363825	-0.200808	0.903053	-0.664009	1.567062
0.157000	0.843000	3.000000	1.364645	-0.200858	0.902439	-0.663600	1.566039
0.158000	0.842000	3.000000	1.365468	-0.200908	0.901825	-0.663192	1.565017
0.159000	0.841000	3.000000	1.366293	-0.200958	0.901211	-0.662783	1.563994
0.160000	0.840000	3.000000	1.367120	-0.201009	0.900598	-0.662374	1.562972
0.161000	0.839000	3.000000	1.367949	-0.201060	0.899984	-0.661966	1.561950
0.162000	0.838000	3.000000	1.368779	-0.201110	0.899371	-0.661557	1.560928
0.163000	0.837000	3.000000	1.369612	-0.201161	0.898757	-0.661149	1.559906
0.164000	0.836000	3.000000	1.370447	-0.201212	0.898144	-0.660741	1.558885
0.165000	0.835000	3.000000	1.371283	-0.201263	0.897531	-0.660333	1.557864
0.166000	0.834000	3.000000	1.372122	-0.201314	0.896918	-0.659925	1.556843
0.167000	0.833000	3.000000	1.372963	-0.201366	0.896305	-0.659517	1.555822
0.168000	0.832000	3.000000	1.373806	-0.201417	0.895692	-0.659109	1.554801
0.169000	0.831000	3.000000	1.374650	-0.201469	0.895079	-0.658702	1.553781
0.170000	0.830000	3.000000	1.375497	-0.201521	0.894467	-0.658294	1.552761
0.171000	0.829000	3.000000	1.376346	-0.201573	0.893854	-0.657887	1.551741
0.172000	0.828000	3.000000	1.377197	-0.201624	0.893242	-0.657480	1.550722
0.173000	0.827000	3.000000	1.378050	-0.201677	0.892630	-0.657073	1.549703
0.174000	0.826000	3.000000	1.378905	-0.201729	0.892018	-0.656666	1.548683
0.175000	0.825000	3.000000	1.379762	-0.201781	0.891406	-0.656259	1.547665
0.176000	0.824000	3.000000	1.380621	-0.201834	0.890794	-0.655852	1.546646
0.177000	0.823000	3.000000	1.381483	-0.201886	0.890182	-0.655445	1.545628
0.178000	0.822000	3.000000	1.382346	-0.201939	0.889571	-0.655039	1.544610
0.179000	0.821000	3.000000	1.383212	-0.201992	0.888959	-0.654632	1.543592
0.180000	0.820000	3.000000	1.384079	-0.202045	0.888348	-0.654226	1.542574
0.181000	0.819000	3.000000	1.384949	-0.202098	0.887737	-0.653820	1.541557
0.182000	0.818000	3.000000	1.385821	-0.202151	0.887126	-0.653414	1.540539
0.183000	0.817000	3.000000	1.386695	-0.202205	0.886515	-0.653008	1.539523
0.184000	0.816000	3.000000	1.387571	-0.202258	0.885904	-0.652602	1.538506
0.185000	0.815000	3.000000	1.388450	-0.202312	0.885293	-0.652197	1.537489
0.186000	0.814000	3.000000	1.389330	-0.202366	0.884682	-0.651791	1.536473
0.187000	0.813000	3.000000	1.390213	-0.202420	0.884072	-0.651386	1.535457
0.188000	0.812000	3.000000	1.391098	-0.202474	0.883461	-0.650980	1.534442
0.189000	0.811000	3.000000	1.391985	-0.202528	0.882851	-0.650575	1.533426
0.190000	0.810000	3.000000	1.392874	-0.202582	0.882241	-0.650170	1.532411
0.191000	0.809000	3.000000	1.393765	-0.202637	0.881631	-0.649765	1.531396
0.192000	0.808000	3.000000	1.394659	-0.202691	0.881021	-0.649360	1.530382
0.193000	0.807000	3.000000	1.395555	-0.202746	0.880412	-0.648956	1.529367
0.194000	0.806000	3.000000	1.396453	-0.202801	0.879802	-0.648551	1.528353
0.195000	0.805000	3.000000	1.397353	-0.202856	0.879192	-0.648147	1.527339
0.196000	0.804000	3.000000	1.398256	-0.202911	0.878583	-0.647742	1.526326
0.197000	0.803000	3.000000	1.399161	-0.202966	0.877974	-0.647338	1.525312
0.198000	0.802000	3.000000	1.400068	-0.203022	0.877365	-0.646934	1.524299
0.199000	0.801000	3.000000	1.400977	-0.203077	0.876756	-0.646530	1.523286
0.200000	0.800000	3.000000	1.401889	-0.203133	0.876147	-0.646127	1.522274
0.201000	0.799000	3.000000	1.402803	-0.203189	0.875538	-0.645723	1.521261
0.202000	0.798000	3.000000	1.403719	-0.203245	0.874930	-0.645319	1.520249
0.203000	0.797000	3.000000	1.404638	-0.203301	0.874321	-0.644916	1.519237
0.204000	0.796000	3.000000	1.405559	-0.203357	0.873713	-0.644513	1.518226
0.205000	0.795000	3.000000	1.406482	-0.203413	0.873105	-0.644110	1.517215
0.206000	0.794000	3.000000	1.407407	-0.203470	0.872497	-0.643707	1.516204
0.207000	0.793000	3.000000	1.408335	-0.203527	0.871889	-0.643304	1.515193
0.208000	0.792000	3.000000	1.409265	-0.203583	0.871281	-0.642901	1.514182
0.209000	0.791000	3.000000	1.410198	-0.203640	0.870673	-0.642499	1.513172
0.210000	0.790000	3.000000	1.411133	-0.203697	0.870066	-0.642096	1.512162
0.211000	0.789000	3.000000	1.412070	-0.203755	0.869459	-0.641694	1.511153
0.212000	0.788000	3.000000	1.413010	-0.203812	0.868851	-0.641292	1.510143
0.213000	0.787000	3.000000	1.413952	-0.203870	0.868244	-0.640890	1.509134
0.214000	0.786000	3.000000	1.414896	-0.203927	0.867637	-0.640488	1.508125
0.215000	0.785000	3.000000	1.415843	-0.203985	0.867031	-0.640086	1.507117
0.216000	0.784000	3.000000	1.416793	-0.204043	0.866424	-0.639685	1.506108
0.217000	0.783000	3.000000	1.417744	-0.204101	0.865817	-0.639283	1.505100
0.218000	0.782000	3.000000	1.418699	-0.204160	0.865211	-0.638882	1.504093
0.219000	0.781000	3.000000	1.419655	-0.204218	0.864605	-0.638481	1.503085
0.220000	0.780000	3.000000	1.420614	-0.204277	0.863999	-0.638080	1.502078
0.221000	0.779000	3.000000	1.421576	-0.204335	0.863393	-0.637679	1.501071
0.222000	0.778000	3.000000	1.422540	-0.204394	0.862787	-0.637278	1.500065
0.223000	0.777000	3.000000	1.423507	-0.204453	0.862181	-0.636877	1.499058
0.224000	0.776000	3.000000	1.424476	-0.204512	0.861576	-0.636477	1.498052
0.225000	0.775000	3.000000	1.425447	-0.204572	0.860970	-0.636076	1.497047
0.226000	0.774000	3.000000	1.426421	-0.204631	0.860365	-0.635676	1.496041
0.227000	0.773000	3.000000	1.427398	-0.204691	0.859760	-0.635276	1.495036
0.228000	0.772000	3.000000	1.428377	-0.204751	0.859155	-0.634876	1.494031
0.229000	0.771000	3.000000	1.429359	-0.204811	0.858550	-0.634476	1.493027
0.230000	0.770000	3.000000	1.430343	-0.204871	0.857945	-0.634077	1.492022
0.231000	0.769000	3.000000	1.431330	-0.204931	0.857341	-0.633677	1.491018
0.232000	0.768000	3.000000	1.432319	-0.204992	0.856737	-0.633278	1.490015
0.233000	0.767000	3.000000	1.433311	-0.205052	0.856132	-0.632879	1.489011
0.234000	0.766000	3.000000	1.434305	-0.205113	0.855528	-0.632480	1.488008
0.235000	0.765000	3.000000	1.435303	-0.205174	0.854924	-0.632081	1.487005
0.236000	0.764000	3.000000	1.436302	-0.205235	0.854321	-0.631682	1.486003
0.237000	0.763000	3.000000	1.437305	-0.205296	0.853717	-0.631284	1.485001
0.238000	0.762000	3.000000	1.438310	-0.205357	0.853113	-0.630885	1.483999
0.239000	0.761000	3.000000	1.439317	-0.205419	0.852510	-0.630487	1.482997
0.240000	0.760000	3.000000	1.440328	-0.205481	0.851907	-0.630089	1.481996
0.241000	0.759000	3.000000	1.441341	-0.205543	0.851304	-0.629691	1.480995
0.242000	0.758000	3.000000	1.442357	-0.205605	0.850701	-0.629293	1.479994
0.243000	0.757000	3.000000	1.443375	-0.205667	0.850098	-0.628895	1.478994
0.244000	0.756000	3.000000	1.444396	-0.205729	0.849496	-0.628498	1.477994
0.245000	0.755000	3.000000	1.445420	-0.205792	0.848893	-0.628101	1.476994
0.246000	0.754000	3.000000	1.446446	-0.205854	0.848291	-0.627703	1.475995
0.247000	0.753000	3.000000	1.447476	-0.205917	0.847689	-0.627306	1.474996
0.248000	0.752000	3.000000	1.448508	-0.205980	0.847087	-0.626909	1.473997
0.249000	0.751000	3.000000	1.449542	-0.206044	0.846485	-0.626513	1.472998
0.250000	0.750000	3.000000	1.450580	-0.206107	0.845884	-0.626116	1.472000
0.251000	0.749000	3.000000	1.451620	-0.206171	0.845282	-0.625720	1.471002
0.252000	0.748000	3.000000	1.452663	-0.206234	0.844681	-0.625324	1.470005
0.253000	0.747000	3.000000	1.453709	-0.206298	0.844080	-0.624927	1.469007
0.254000	0.746000	3.000000	1.454758	-0.206362	0.843479	-0.624532	1.468011
0.255000	0.745000	3.000000	1.455809	-0.206426	0.842878	-0.624136	1.467014
0.256000	0.744000	3.000000	1.456864	-0.206491	0.842278	-0.623740	1.466018
0.257000	0.743000	3.000000	1.457921	-0.206555	0.841677	-0.623345	1.465022
0.258000	0.742000	3.000000	1.458981	-0.206620	0.841077	-0.622949	1.464026
0.259000	0.741000	3.000000	1.460044	-0.206685	0.840477	-0.622554	1.463031
0.260000	0.740000	3.000000	1.461110	-0.206750	0.839877	-0.622159	1.462036
0.261000	0.739000	3.000000	1.462178	-0.206815	0.839277	-0.621765	1.461041
0.262000	0.738000	3.000000	1.463250	-0.206881	0.838677	-0.621370	1.460047
0.263000	0.737000	3.000000	1.464325	-0.206947	0.838078	-0.620976	1.459053
0.264000	0.736000	3.000000	1.465402	-0.207012	0.837478	-0.620581	1.458060
0.265000	0.735000	3.000000	1.466482	-0.207078	0.836879	-0.620187	1.457066
0.266000	0.734000	3.000000	1.467566	-0.207145	0.836280	-0.619793	1.456073
0.267000	0.733000	3.000000	1.468652	-0.207211	0.835682	-0.619399	1.455081
0.268000	0.732000	3.000000	1.469741	-0.207277	0.835083	-0.619006	1.454089
0.269000	0.731000	3.000000	1.470834	-0.207344	0.834484	-0.618612	1.453097
0.270000	0.730000	3.000000	1.471929	-0.207411	0.833886	-0.618219	1.452105
0.271000	0.729000	3.000000	1.473027	-0.207478	0.833288	-0.617826	1.451114
0.272000	0.728000	3.000000	1.474128	-0.207545	0.832690	-0.617433	1.450123
0.273000	0.727000	3.000000	1.475233	-0.207613	0.832092	-0.617040	1.449133
0.274000	0.726000	3.000000	1.476340	-0.207681	0.831495	-0.616648	1.448142
